occupancy_label,inventory_total,reserve_pallets_per_layout,weight_case_id,canonical_lambda_case_id,omega_depth,omega_level,selection_label,mean_normalized_horizontal_distance,mean_normalized_depth,mean_normalized_level,reserve_access_cost,rank_lower_is_better,is_best_layout,canonical_low_reserve_access_cost,low_absolute_difference,low_reproduction_tolerance,low_reproduction_pass
low,790,690,B3,B3_higher_level_penalty,0.1,0.25,L4,0.254202898668116,0.23768115942029,0.507246376808695,0.404782608812319,3,false,0.404782608696,1.16319176513002e-10,1e-09,true
low,790,690,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L1,0.394440052746377,0.169565217391304,0.461904761933333,0.552307547577536,4,false,0.552307547525,5.25363086367747e-11,1e-09,true
low,790,690,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L2,0.248722002673913,0.259782608695652,0.345755693634784,0.400106578256522,2,false,0.400106578204,5.25220977820595e-11,1e-09,true
low,790,690,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L3,0.160395257108696,0.298188405797101,0.578260869555072,0.379507575946739,1,true,0.379507575758,1.88739024409301e-10,1e-09,true
low,790,690,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L4,0.254202898668116,0.23768115942029,0.507246376808695,0.440434782725363,3,false,0.440434782609,1.16362697255568e-10,1e-09,true
medium,2240,2140,B1,B1_baseline,0.1,0.1,L1,0.524146134249533,0.22161214953271,0.43244325769673,0.589551674972477,4,false,,,,
medium,2240,2140,B1,B1_baseline,0.1,0.1,L2,0.296966864923833,0.273130841121495,0.42917222966168,0.36719717200215,1,true,,,,
medium,2240,2140,B1,B1_baseline,0.1,0.1,L3,0.385607476692524,0.267990654205607,0.452002670246263,0.457606809137711,2,false,,,,
medium,2240,2140,B1,B1_baseline,0.1,0.1,L4,0.488649107928974,0.255957943925234,0.48437917223364,0.562682819544862,3,false,,,,
medium,2240,2140,B2,B2_higher_depth_penalty,0.25,0.1,L1,0.524146134249533,0.22161214953271,0.43244325769673,0.622793497402383,4,false,,,,
medium,2240,2140,B2,B2_higher_depth_penalty,0.25,0.1,L2,0.296966864923833,0.273130841121495,0.42917222966168,0.408166798170374,1,true,,,,
medium,2240,2140,B2,B2_higher_depth_penalty,0.25,0.1,L3,0.385607476692524,0.267990654205607,0.452002670246263,0.497805407268552,2,false,,,,
medium,2240,2140,B2,B2_higher_depth_penalty,0.25,0.1,L4,0.488649107928974,0.255957943925234,0.48437917223364,0.601076511133647,3,false,,,,
medium,2240,2140,B3,B3_higher_level_penalty,0.1,0.25,L1,0.524146134249533,0.22161214953271,0.43244325769673,0.654418163626986,4,false,,,,
medium,2240,2140,B3,B3_higher_level_penalty,0.1,0.25,L2,0.296966864923833,0.273130841121495,0.42917222966168,0.431573006451402,1,true,,,,
medium,2240,2140,B3,B3_higher_level_penalty,0.1,0.25,L3,0.385607476692524,0.267990654205607,0.452002670246263,0.52540720967465,2,false,,,,
medium,2240,2140,B3,B3_higher_level_penalty,0.1,0.25,L4,0.488649107928974,0.255957943925234,0.48437917223364,0.635339695379908,3,false,,,,
medium,2240,2140,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L1,0.524146134249533,0.22161214953271,0.43244325769673,0.687659986056893,4,false,,,,
medium,2240,2140,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L2,0.296966864923833,0.273130841121495,0.42917222966168,0.472542632619626,1,true,,,,
medium,2240,2140,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L3,0.385607476692524,0.267990654205607,0.452002670246263,0.565605807805492,2,false,,,,
medium,2240,2140,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L4,0.488649107928974,0.255957943925234,0.48437917223364,0.673733386968693,3,false,,,,
high,3584,3484,B1,B1_baseline,0.1,0.1,L1,0.54770900741705,0.214336969001148,0.440503526366832,0.613193056953848,4,false,,,,
high,3584,3484,B1,B1_baseline,0.1,0.1,L2,0.354618515820895,0.253013777267509,0.451205510936288,0.425040444641274,1,true,,,,
high,3584,3484,B1,B1_baseline,0.1,0.1,L3,0.472988205854478,0.238231917336395,0.417787436508906,0.538590141239009,2,false,,,,
