phase,method_or_variant,instance,seed,command,status,started_at,finished_at,runtime_seconds,return_code,output_dir,log_path,error_message
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,119,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 119 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s119 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:01:53+00:00,2026-09-04T20:24:23+00:00,1350.296034,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s119,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s119.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,120,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 120 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s120 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:02:26+00:00,2026-09-04T20:24:14+00:00,1308.845797,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s120,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s120.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,121,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 121 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s121 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:19:39+00:00,2026-09-04T20:44:30+00:00,1491.196799,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s121,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s121.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,122,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 122 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s122 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:20:28+00:00,2026-09-04T20:45:03+00:00,1475.236498,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s122,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s122.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,123,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 123 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s123 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:21:07+00:00,2026-09-04T20:46:32+00:00,1525.22162,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s123,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s123.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,124,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 124 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s124 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:21:32+00:00,2026-09-04T20:44:51+00:00,1399.289796,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s124,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s124.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 125 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s125 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:21:58+00:00,2026-09-04T20:46:37+00:00,1479.468078,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s125,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s125.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,126,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 126 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s126 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:22:08+00:00,2026-09-04T20:46:15+00:00,1446.928617,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s126,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s126.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,127,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 127 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s127 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:23:13+00:00,2026-09-04T20:47:27+00:00,1454.704292,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s127,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s127.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,128,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 128 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s128 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:23:33+00:00,2026-09-04T20:48:38+00:00,1505.360009,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s128,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s128.log,
