comparison_group,method_or_variant,instance,seed,configured_max_depth,retained_archive_count,mean_retained_depth,median_retained_depth,min_retained_depth,max_retained_depth,retained_layouts_reaching_cap,run_reaches_configured_cap,scope_note
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,123,28,16,11.0,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,124,28,18,10.5,11.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,125,28,25,11.16,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,126,28,26,10.846153846153847,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,127,28,14,11.714285714285714,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,128,28,22,10.863636363636363,11.5,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,129,28,18,10.88888888888889,11.5,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,130,28,19,10.842105263157896,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,101,30,21,6.476190476190476,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,102,30,21,6.333333333333333,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,103,30,21,6.428571428571429,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,104,30,19,6.105263157894737,4.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,105,30,23,6.478260869565218,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,106,30,17,5.882352941176471,4.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,107,30,21,6.428571428571429,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,108,30,22,6.454545454545454,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,109,30,22,6.454545454545454,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,110,30,20,6.4,6.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,111,30,25,6.48,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,112,30,22,6.2727272727272725,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,113,30,25,6.56,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,114,30,21,6.476190476190476,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,115,30,22,6.454545454545454,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,116,30,17,7.470588235294118,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,117,30,26,6.615384615384615,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,118,30,24,6.666666666666667,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,119,30,22,6.454545454545454,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,120,30,22,6.454545454545454,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,121,30,24,6.5,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,122,30,20,6.2,6.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,123,30,20,6.25,6.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,124,30,20,6.3,6.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,125,30,19,6.2105263157894735,4.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
