comparison_group,method_or_variant,instance,seed,configured_max_depth,observed_min_structural_depth,observed_max_structural_depth,retained_archive_count,retained_unique_signature_count,retained_layouts_reaching_cap,run_reaches_configured_cap,runtime_seconds,candidate_row_count,candidate_rows_at_cap,candidate_rows_above_cap,candidate_rows_safety_max_depth_reached,archive_index_path
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,119,10,8,10,14,14,9,True,776.2983070999908,187,167,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s119/runs/demo_layout_door_left_AW_2/seed_119/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,120,10,8,10,21,21,18,True,730.399069200008,216,195,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s120/runs/demo_layout_door_left_AW_2/seed_120/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,121,10,8,8,6,6,0,False,812.7157187999983,187,171,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s121/runs/demo_layout_door_left_AW_2/seed_121/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,122,10,8,10,22,22,15,True,735.637852099986,186,164,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s122/runs/demo_layout_door_left_AW_2/seed_122/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,123,10,8,10,19,19,18,True,808.7083163000061,149,139,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s123/runs/demo_layout_door_left_AW_2/seed_123/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,124,10,8,10,16,16,11,True,692.0774648000079,193,159,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s124/runs/demo_layout_door_left_AW_2/seed_124/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,125,10,8,10,5,5,3,True,779.5234880999778,192,171,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s125/runs/demo_layout_door_left_AW_2/seed_125/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,126,10,8,10,5,5,1,True,663.6404363000183,250,212,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s126/runs/demo_layout_door_left_AW_2/seed_126/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,127,10,8,10,16,16,15,True,801.7457387000031,167,156,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s127/runs/demo_layout_door_left_AW_2/seed_127/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,128,10,8,10,14,14,9,True,701.8505962000054,202,164,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s128/runs/demo_layout_door_left_AW_2/seed_128/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,129,10,8,10,25,25,19,True,751.812478900014,196,174,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s129/runs/demo_layout_door_left_AW_2/seed_129/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,130,10,8,10,5,5,1,True,734.9384219000058,190,172,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s130/runs/demo_layout_door_left_AW_2/seed_130/final_ranked_layouts_index.json
