comparison_group,method_or_variant,source_phase,source_manifest_label,source_relative_root,instance,seed,archive_scope,archive_record_count,unique_signature_count,configured_max_depth,runtime_seconds,archive_index_path,run_metadata_path,manifest_output_dir
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,127,final feasible rank 0-3,32,32,28,132.8254116,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s127/runs/AT_S_comercial_layout_AW_3/seed_127/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s127/runs/AT_S_comercial_layout_AW_3/seed_127/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s127
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,128,final feasible rank 0-3,18,18,28,158.8693987,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s128/runs/AT_S_comercial_layout_AW_3/seed_128/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s128/runs/AT_S_comercial_layout_AW_3/seed_128/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s128
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,129,final feasible rank 0-3,23,23,28,155.5247655,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s129/runs/AT_S_comercial_layout_AW_3/seed_129/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s129/runs/AT_S_comercial_layout_AW_3/seed_129/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s129
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,130,final feasible rank 0-3,22,22,28,172.6963965,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s130/runs/AT_S_comercial_layout_AW_3/seed_130/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s130/runs/AT_S_comercial_layout_AW_3/seed_130/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s130
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,101,final feasible rank 0-3,19,19,28,1179.861464,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s101/runs/demo_layout_door_left_AW_2/seed_101/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s101/runs/demo_layout_door_left_AW_2/seed_101/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s101
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,102,final feasible rank 0-3,12,12,28,1215.146425,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s102/runs/demo_layout_door_left_AW_2/seed_102/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s102/runs/demo_layout_door_left_AW_2/seed_102/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s102
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,103,final feasible rank 0-3,18,18,28,1231.979942,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s103/runs/demo_layout_door_left_AW_2/seed_103/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s103/runs/demo_layout_door_left_AW_2/seed_103/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s103
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,104,final feasible rank 0-3,16,16,28,1285.034639,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s104/runs/demo_layout_door_left_AW_2/seed_104/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s104/runs/demo_layout_door_left_AW_2/seed_104/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s104
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,105,final feasible rank 0-3,11,11,28,1195.871515,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s105/runs/demo_layout_door_left_AW_2/seed_105/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s105/runs/demo_layout_door_left_AW_2/seed_105/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s105
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,106,final feasible rank 0-3,10,10,28,1107.34791,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s106/runs/demo_layout_door_left_AW_2/seed_106/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s106/runs/demo_layout_door_left_AW_2/seed_106/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s106
