comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds,reference_front_size,normalization_scope,archive_scope,hv_reference_point
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,117,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,21.1231919,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,118,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,26.8078057,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,119,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,24.3014604,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,120,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,20.6770448,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,121,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,20.6081638,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,122,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,20.4550046,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,123,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,20.739346,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,124,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,19.9249315,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,125,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,19.3520017,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,126,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,19.0675373,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,127,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,20.0511846,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,128,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,20.0510219,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,129,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,20.0059212,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,130,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,26.4419481,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,101,1.175019291030161,0.062134598973267514,0.2825191407208873,4,32,32,95.2219434,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,102,1.2550496474735608,0.0,0.23976670798300592,6,36,36,100.442399,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,103,1.1569574030552294,0.03095208411789052,0.40724011462868015,7,32,32,95.3738977,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,104,1.2485455346651002,0.012500000000000002,0.24321705807474134,6,36,36,95.062791,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,105,1.196699667058363,0.02901839483840002,0.29105770858985786,4,30,30,94.2705123,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,106,1.0987124951037999,0.09595249823615047,0.415986279234724,5,34,34,93.8917175,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,107,1.2550496474735608,0.0,0.23976670798300592,6,35,35,97.1764787,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,108,1.2550496474735608,0.0,0.23976670798300592,6,33,33,93.0956075,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,109,1.2485455346651002,0.012500000000000002,0.24321705807474134,6,35,35,103.2700499,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,110,1.0978301018409717,0.05997047895629054,0.44422185774801276,6,34,34,99.6807334,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,111,1.2485455346651002,0.012500000000000002,0.24321705807474134,6,30,30,98.9916562,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,112,1.175019291030161,0.062134598973267514,0.2825191407208873,4,35,35,97.5088771,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,113,1.096184978456718,0.05997047895629054,0.4748774995394004,5,28,28,92.2556853,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,114,1.096184978456718,0.05997047895629054,0.4748774995394004,5,31,31,93.0237744,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,115,1.07647972972973,0.06583969060273799,0.33699066456374627,5,25,25,99.4774493,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,116,1.196699667058363,0.02901839483840002,0.29105770858985786,4,26,26,102.959003,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,117,1.175019291030161,0.062134598973267514,0.2825191407208873,4,31,31,96.261526,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,118,1.2550496474735608,0.0,0.23976670798300592,6,26,26,92.3247478,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,119,1.175019291030161,0.062134598973267514,0.2825191407208873,4,30,30,105.2651211,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,120,1.1508704465334902,0.03095208411789052,0.3147759699838363,6,29,29,98.9429712,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,121,1.196699667058363,0.02901839483840002,0.29105770858985786,4,33,33,106.3158991,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,122,1.1508704465334902,0.03095208411789052,0.3147759699838363,6,27,27,93.6224976,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,123,1.096184978456718,0.05997047895629054,0.4748774995394004,5,24,24,105.9012446,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,124,1.2550496474735608,0.0,0.23976670798300592,6,34,34,102.3365695,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,125,1.1569574030552294,0.03095208411789052,0.40724011462868015,7,35,35,107.6386705,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,126,1.196699667058363,0.02901839483840002,0.29105770858985786,4,29,29,98.7550552,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,127,1.196699667058363,0.02901839483840002,0.29105770858985786,4,30,30,102.646013,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,128,1.1569574030552294,0.03095208411789052,0.40724011462868015,7,38,38,112.2928157,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,129,1.196699667058363,0.02901839483840002,0.29105770858985786,4,26,26,106.7962514,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,random_restart_bs,130,1.0727742851547202,0.09409297911109689,0.4577486624974065,5,34,34,113.5992308,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,101,1.3235682574916763,0.0,0.1003726154114542,2,19,19,1179.861464,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,102,1.2402500000000003,0.0375,0.0,1,12,12,1215.146425,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,103,1.2402500000000003,0.0375,0.0,1,18,18,1231.979942,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,104,1.3235682574916763,0.0,0.1003726154114542,2,16,16,1285.034639,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,105,1.2402500000000003,0.0375,0.0,1,11,11,1195.871515,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,106,1.2402500000000003,0.0375,0.0,1,10,10,1107.34791,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,107,1.2402500000000003,0.0375,0.0,1,14,14,1187.210853,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,108,0.6904184239733632,0.381794179811947,0.4073111328807902,4,27,27,1221.025477,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,109,1.2402500000000003,0.0375,0.0,1,14,14,1166.607857,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,110,0.7789006659267481,0.2808489357171321,0.2458622226796542,2,25,25,1203.364252,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,111,0.6505160932297449,0.381794179811947,0.4176956395468055,3,22,22,1188.965461,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,112,0.6557630410654831,0.381794179811947,0.33859628248016094,4,20,20,1043.038583,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,113,0.6692777469478359,0.381794179811947,0.4189326163110681,4,21,21,974.7041467,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,114,1.2402500000000003,0.0375,0.0,1,15,15,1116.434502,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,115,0.6720524417314098,0.381794179811947,0.35774178083408203,5,25,25,1008.304336,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,116,1.3235682574916763,0.0,0.1003726154114542,2,11,11,979.9472457,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,117,0.6505160932297449,0.381794179811947,0.4176956395468055,3,18,18,1146.200848,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,118,0.7285205327413987,0.3069972736780261,0.0,1,17,17,1033.227345,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,119,0.6557630410654831,0.381794179811947,0.33859628248016094,4,26,26,1099.88287,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,120,1.3235682574916763,0.0,0.1003726154114542,2,16,16,1105.598826,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,121,0.6846498335183132,0.381794179811947,0.40083721606772676,3,23,23,1163.558427,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
