scope,instance,metric,method1,method2,pairing_key,n_pairs,method1_mean,method2_mean,wilcoxon_statistic,p_value_raw,zero_method,alternative,preferred_direction,rank_biserial_method1_preferred,method1_wins,ties,method1_losses,method1_win_proportion,tie_proportion,method1_loss_proportion,raw_mean_difference_method1_minus_method2,holm_family,independence_note,p_value_holm
per_instance_primary,demo_layout_door_left_AW_2,hypervolume,proposed_nsga2_bs,random_restart_bs,seed,30,1.0089983074361824,1.3069046059933418,4.5,2.9592554971200086e-05,wilcox,two-sided,higher,-0.97,1,6,23,0.03333333333333333,0.2,0.7666666666666667,-0.2979062985571588,"three Phase-11 method pairs within metric=hypervolume, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,2.9592554971200086e-05
per_instance_primary,demo_layout_door_left_AW_2,hypervolume,random_restart_bs,bs_only_direct,seed,30,1.3069046059933418,0.40745061043285236,0.0,3.2578337389889016e-07,wilcox,two-sided,higher,1.0,30,0,0,1.0,0.0,0.0,0.8994539955604883,"three Phase-11 method pairs within metric=hypervolume, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,9.773501216966706e-07
per_instance_primary,demo_layout_door_left_AW_2,igd_plus,proposed_nsga2_bs,bs_only_direct,seed,30,0.17417136222537402,0.6465915982003003,0.0,1.3733063751041116e-06,wilcox,two-sided,lower,1.0,30,0,0,1.0,0.0,0.0,-0.4724202359749264,"three Phase-11 method pairs within metric=igd_plus, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,2.746612750208223e-06
per_instance_primary,demo_layout_door_left_AW_2,igd_plus,proposed_nsga2_bs,random_restart_bs,seed,30,0.17417136222537402,0.007500000000000001,7.5,3.862567739732649e-05,wilcox,two-sided,lower,-0.95,1,6,23,0.03333333333333333,0.2,0.7666666666666667,0.16667136222537407,"three Phase-11 method pairs within metric=igd_plus, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,3.862567739732649e-05
per_instance_primary,demo_layout_door_left_AW_2,igd_plus,random_restart_bs,bs_only_direct,seed,30,0.007500000000000001,0.6465915982003003,0.0,3.2578337389889016e-07,wilcox,two-sided,lower,1.0,30,0,0,1.0,0.0,0.0,-0.6390915982003004,"three Phase-11 method pairs within metric=igd_plus, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,9.773501216966706e-07
per_instance_primary,demo_layout_door_left_AW_2,osd,proposed_nsga2_bs,bs_only_direct,seed,30,0.16642457451200307,0.42510755676172324,0.0,1.3457130293889576e-06,wilcox,two-sided,descriptive_no_preferred_direction,,0,0,30,0.0,0.0,1.0,-0.2586829822497201,"three Phase-11 method pairs within metric=osd, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,2.691426058777915e-06
per_instance_primary,demo_layout_door_left_AW_2,osd,proposed_nsga2_bs,random_restart_bs,seed,30,0.16642457451200307,0.08029809232916338,60.0,0.01623638259445193,wilcox,two-sided,descriptive_no_preferred_direction,,13,7,10,0.43333333333333335,0.23333333333333334,0.3333333333333333,0.08612648218283968,"three Phase-11 method pairs within metric=osd, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,0.01623638259445193
per_instance_primary,demo_layout_door_left_AW_2,osd,random_restart_bs,bs_only_direct,seed,30,0.08029809232916338,0.42510755676172324,0.0,3.2578337389889016e-07,wilcox,two-sided,descriptive_no_preferred_direction,,0,0,30,0.0,0.0,1.0,-0.34480946443255966,"three Phase-11 method pairs within metric=osd, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,9.773501216966706e-07
per_instance_primary,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,proposed_nsga2_bs,bs_only_direct,seed,30,18.566666666666666,5.0,0.0,1.7029908934686465e-06,wilcox,two-sided,higher,1.0,30,0,0,1.0,0.0,0.0,13.566666666666666,"three Phase-11 method pairs within metric=unique_layout_signature_count_rank_0_3, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,5.102527614858559e-06
per_instance_primary,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,proposed_nsga2_bs,random_restart_bs,seed,30,18.566666666666666,15.4,80.5,0.015606934809754506,wilcox,two-sided,higher,0.5413105413105413,21,4,5,0.7,0.13333333333333333,0.16666666666666666,3.1666666666666665,"three Phase-11 method pairs within metric=unique_layout_signature_count_rank_0_3, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,0.015606934809754506
per_instance_primary,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,random_restart_bs,bs_only_direct,seed,30,15.4,5.0,0.0,1.7008425382861862e-06,wilcox,two-sided,higher,1.0,30,0,0,1.0,0.0,0.0,10.4,"three Phase-11 method pairs within metric=unique_layout_signature_count_rank_0_3, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,5.102527614858559e-06
per_instance_primary,demo_layout_door_left_AW_2,runtime_seconds,proposed_nsga2_bs,bs_only_direct,seed,30,1128.5987141266667,99.27748462000002,0.0,1.862645149230957e-09,wilcox,two-sided,lower,-1.0,0,0,30,0.0,0.0,1.0,1029.3212295066667,"three Phase-11 method pairs within metric=runtime_seconds, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,5.587935447692871e-09
