comparison_group,instance,method_or_variant,seed,seed_archive_signature_count,seed_exclusive_signature_count,seed_rediscovered_signature_count,seed_rediscovered_signature_ratio,definition
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,103,18,3,15,0.8333333333333334,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,104,16,0,16,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,105,11,0,11,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,106,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,107,14,0,14,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,108,27,5,22,0.8148148148148148,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,109,14,0,14,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,110,25,1,24,0.96,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,111,22,3,19,0.8636363636363636,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,112,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,113,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,114,15,0,15,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,115,25,4,21,0.84,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,116,11,0,11,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,117,18,0,18,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,118,17,3,14,0.8235294117647058,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,119,26,0,26,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,120,16,0,16,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,121,23,3,20,0.8695652173913043,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,122,19,1,18,0.9473684210526315,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,123,16,0,16,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,124,18,0,18,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,125,25,2,23,0.92,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,126,26,0,26,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,127,14,0,14,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,128,22,1,21,0.9545454545454546,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,129,18,0,18,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,130,19,0,19,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,101,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,102,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,103,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,104,19,0,19,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,105,23,0,23,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,106,17,0,17,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,107,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,108,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,109,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,110,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,111,25,0,25,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,112,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,113,25,2,23,0.92,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,114,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,115,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,116,17,0,17,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,117,26,0,26,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,118,24,0,24,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,119,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
