comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds,reference_front_size,normalization_scope,archive_scope,hv_reference_point
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,121,0.6846498335183132,0.381794179811947,0.40083721606772676,3,23,23,1163.558427,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,122,1.2220011098779138,0.0333528931448821,0.0,1,19,19,1129.41555,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,123,1.2402500000000003,0.0375,0.0,1,16,16,1092.272302,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,124,1.2220011098779138,0.0333528931448821,0.0,1,18,18,964.4566384,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,125,0.6505160932297449,0.381794179811947,0.4176956395468055,3,25,25,1146.498567,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,126,0.6864445061043287,0.381794179811947,0.31221406638195554,4,26,26,1148.09955,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,127,0.6505160932297449,0.381794179811947,0.4176956395468055,3,14,14,1202.02555,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,128,1.2220011098779138,0.0333528931448821,0.0,1,22,22,1102.021434,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,129,1.2402500000000003,0.0375,0.0,1,18,18,1084.872176,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,130,1.3235682574916763,0.0,0.1003726154114542,2,19,19,1134.986732,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V6_depth15_beam_default,101,1.3235682574916763,0.0,0.1003726154114542,2,19,19,1062.8387074999919,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V6_depth15_beam_default,102,1.2402500000000003,0.0375,0.0,1,12,12,1096.9580600000045,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
