phase,method_or_variant,method_label,instance,instance_label,seed,index,hypervolume,carried_forward
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,106,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,107,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,108,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,109,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,110,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,111,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,112,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,113,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,114,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,115,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,116,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,117,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,118,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,119,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,120,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,121,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,122,0,0.08211876978742659,False
