phase,method_or_variant,method_label,instance,instance_label,index,n,hv_mean,hv_std,hv_median,hv_q25,hv_q75,hv_min,hv_max,n_carried_forward
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,8,30,0.8117967540771249,0.2640197262850255,1.0081081891254529,0.4953957800511509,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,9,30,0.8131135156137554,0.26219606198986856,1.0081081891254529,0.4998727808317003,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,10,30,0.8333389293464423,0.25272788907686045,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,11,30,0.8333389293464423,0.25272788907686045,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,12,30,0.8483381356495168,0.2491590231801253,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,13,30,0.8483381356495168,0.2491590231801253,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,14,30,0.8483381356495168,0.2491590231801253,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,15,30,0.8483381356495168,0.2491590231801253,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,16,30,0.8483381356495168,0.2491590231801253,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V0_full_proposed,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,17,30,0.8483381356495168,0.2491590231801253,1.0081081891254529,0.524510837388315,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,0,30,0.9289039730639731,0.12670037639663898,0.9651245791245793,0.8409364057239059,0.995037878787879,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,1,30,0.9768131649831653,0.12697823329847283,0.973627777777778,0.8727550505050508,1.065064814814815,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,2,30,1.0010573625140295,0.11771272476891932,0.995037878787879,0.9662112794612796,1.065064814814815,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,3,30,1.0039755443322111,0.12040851981440258,0.995037878787879,0.9662112794612796,1.0907617845117845,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,4,30,1.0133375645342315,0.11460499686031933,1.0046277777777781,0.9662112794612796,1.0907617845117845,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,5,30,1.0133375645342315,0.11460499686031933,1.0046277777777781,0.9662112794612796,1.0907617845117845,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,6,30,1.0194935914702583,0.11932876802737721,1.0046277777777781,0.9662112794612796,1.1459309764309766,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,7,30,1.0194935914702583,0.11932876802737721,1.0046277777777781,0.9662112794612796,1.1459309764309766,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,8,30,1.0244263411896748,0.12172756302652445,1.0348462962962965,0.9662112794612796,1.1526102693602696,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,9,30,1.0244263411896748,0.12172756302652445,1.0348462962962965,0.9662112794612796,1.1526102693602696,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,10,30,1.0244263411896748,0.12172756302652445,1.0348462962962965,0.9662112794612796,1.1526102693602696,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,11,30,1.0244263411896748,0.12172756302652445,1.0348462962962965,0.9662112794612796,1.1526102693602696,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,12,30,1.0244263411896748,0.12172756302652445,1.0348462962962965,0.9662112794612796,1.1526102693602696,0.7484651515151517,1.1526102693602696,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,13,30,1.0336948260381598,0.12162597666604973,1.0348462962962965,0.9734179292929295,1.1526102693602696,0.7484651515151517,1.157963804713805,0
phase12b,V1_fixed_sorting,V1 fixed sorting,AT_S_comercial_layout_AW_3,Atefeh,14,30,1.0336948260381598,0.12162597666604973,1.0348462962962965,0.9734179292929295,1.1526102693602696,0.7484651515151517,1.157963804713805,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,0,30,0.42342997994652415,0.06815881612300112,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.2207059757697547,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,1,30,0.4236386104837192,0.06793497984457576,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,2,30,0.4236386104837192,0.06793497984457576,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,3,30,0.42376150514553657,0.06797357649069606,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,4,30,0.42376150514553657,0.06797357649069606,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,5,30,0.4238843998073538,0.06801192151087437,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,6,30,0.4238843998073538,0.06801192151087437,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,7,30,0.4238843998073538,0.06801192151087437,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,8,30,0.4238843998073538,0.06801192151087437,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,9,30,0.4238843998073538,0.06801192151087437,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,10,30,0.4238843998073538,0.06801192151087437,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,11,30,0.4238843998073538,0.06801192151087437,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,12,30,0.4313142645398081,0.05655051300218946,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,13,30,0.4387441292722623,0.04069504513177275,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,14,30,0.4387441292722623,0.04069504513177275,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.22327805203108927,0.4461739940047166,0
