phase,method_or_variant,instance,seed,generation_objectives_csv,row_count
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,127,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s127\runs\AT_S_comercial_layout_AW_3\seed_127\generation_objectives.csv,72
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s128\runs\AT_S_comercial_layout_AW_3\seed_128\generation_objectives.csv,44
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,129,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s129\runs\AT_S_comercial_layout_AW_3\seed_129\generation_objectives.csv,69
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,130,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s130\runs\AT_S_comercial_layout_AW_3\seed_130\generation_objectives.csv,53
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,101,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s101\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_101\generation_objectives.csv,55
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,102,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s102\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_102\generation_objectives.csv,48
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,103,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s103\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_103\generation_objectives.csv,63
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,104,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s104\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_104\generation_objectives.csv,43
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,105,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\generation_objectives.csv,48
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,106,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s106\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_106\generation_objectives.csv,29
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,107,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s107\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_107\generation_objectives.csv,74
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,108,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s108\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_108\generation_objectives.csv,49
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,109,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s109\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_109\generation_objectives.csv,40
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,110,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s110\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_110\generation_objectives.csv,50
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,111,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\generation_objectives.csv,52
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,112,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s112\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_112\generation_objectives.csv,50
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s113\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_113\generation_objectives.csv,46
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,114,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s114\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_114\generation_objectives.csv,40
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,115,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s115\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_115\generation_objectives.csv,46
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,116,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s116\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_116\generation_objectives.csv,40
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,117,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s117\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_117\generation_objectives.csv,60
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,118,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s118\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_118\generation_objectives.csv,67
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,119,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s119\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_119\generation_objectives.csv,31
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,120,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s120\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_120\generation_objectives.csv,42
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,121,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s121\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_121\generation_objectives.csv,55
