regime,lambda_case_id,lambda_depth,lambda_level,selection_label,workload_seed_id,rng_seed,orders_count,order_lines_count,mean_order_lambda_access_effort_sum,mean_order_lambda_access_effort_mean,mean_line_lambda_access_effort,seed_status,seed_warning
A,A2_lower_level_penalty,1,0.5,L3,1,20260618,1000,3046,0.461125324675,0.149059761905,0.151387171594,ok,
A,A2_lower_level_penalty,1,0.5,L3,2,20260619,1000,3031,0.507548051948,0.165296179654,0.167452343104,ok,
A,A2_lower_level_penalty,1,0.5,L3,3,20260620,1000,2988,0.481468181818,0.159621471861,0.161133929658,ok,
A,A2_lower_level_penalty,1,0.5,L3,4,20260621,1000,3085,0.473733766234,0.15374017316,0.153560378034,ok,
A,A2_lower_level_penalty,1,0.5,L3,5,20260622,1000,3039,0.47226038961,0.156273398268,0.15539993077,ok,
A,A2_lower_level_penalty,1,0.5,L3,6,20260623,1000,3009,0.47266038961,0.154027034632,0.157082216554,ok,
A,A2_lower_level_penalty,1,0.5,L3,7,20260624,1000,2998,0.475027272727,0.157176158009,0.15844805628,ok,
A,A2_lower_level_penalty,1,0.5,L3,8,20260625,1000,2990,0.469937662338,0.159506677489,0.157169786735,ok,
A,A2_lower_level_penalty,1,0.5,L3,9,20260626,1000,2976,0.479215584416,0.161409350649,0.161026742075,ok,
A,A2_lower_level_penalty,1,0.5,L3,10,20260627,1000,3017,0.475300649351,0.162206136364,0.157540818479,ok,
A,A2_lower_level_penalty,1,0.5,L3,11,20260628,1000,3010,0.508297402597,0.171572251082,0.168869568969,ok,
A,A2_lower_level_penalty,1,0.5,L3,12,20260629,1000,2972,0.484992857143,0.16610237013,0.163187367814,ok,
A,A2_lower_level_penalty,1,0.5,L3,13,20260630,1000,3021,0.46904025974,0.154702175325,0.155259933711,ok,
A,A2_lower_level_penalty,1,0.5,L3,14,20260631,1000,2940,0.49097987013,0.161162911255,0.166999955827,ok,
A,A2_lower_level_penalty,1,0.5,L3,15,20260632,1000,3091,0.504138311688,0.160521688312,0.163098774406,ok,
A,A2_lower_level_penalty,1,0.5,L3,16,20260633,1000,3034,0.44689025974,0.146248874459,0.147294086928,ok,
A,A2_lower_level_penalty,1,0.5,L3,17,20260634,1000,3025,0.452167532468,0.153635238095,0.149476870237,ok,
A,A2_lower_level_penalty,1,0.5,L3,18,20260635,1000,2996,0.470211038961,0.165839816017,0.156946274687,ok,
A,A2_lower_level_penalty,1,0.5,L3,19,20260636,1000,3037,0.491137012987,0.155235649351,0.161717817908,ok,
A,A2_lower_level_penalty,1,0.5,L3,20,20260637,1000,3018,0.482323376623,0.152096742424,0.159815565482,ok,
A,A2_lower_level_penalty,1,0.5,L3,21,20260638,1000,2998,0.481821428571,0.161420378788,0.160714285714,ok,
A,A2_lower_level_penalty,1,0.5,L3,22,20260639,1000,2974,0.468806493507,0.152159502165,0.157635001179,ok,
A,A2_lower_level_penalty,1,0.5,L3,23,20260640,1000,3106,0.497133766234,0.163020367965,0.160055945343,ok,
A,A2_lower_level_penalty,1,0.5,L3,24,20260641,1000,3096,0.507967532468,0.166986731602,0.164072200409,ok,
A,A2_lower_level_penalty,1,0.5,L3,25,20260642,1000,2954,0.475875974026,0.157814372294,0.161095454985,ok,
A,A2_lower_level_penalty,1,0.5,L3,26,20260643,1000,3002,0.490937012987,0.159189880952,0.163536646565,ok,
A,A2_lower_level_penalty,1,0.5,L3,27,20260644,1000,2996,0.494075974026,0.166370443723,0.16491187384,ok,
A,A2_lower_level_penalty,1,0.5,L3,28,20260645,1000,2993,0.463575324675,0.152673603896,0.154886510082,ok,
A,A2_lower_level_penalty,1,0.5,L3,29,20260646,1000,2966,0.451926623377,0.150741861472,0.152369057106,ok,
A,A2_lower_level_penalty,1,0.5,L3,30,20260647,1000,2986,0.443718831169,0.14531711039,0.148599742521,ok,
A,A2_lower_level_penalty,1,0.5,L4,1,20260618,1000,3046,0.503265584416,0.163503939394,0.165221793964,ok,
A,A2_lower_level_penalty,1,0.5,L4,2,20260619,1000,3031,0.554794805195,0.179946147186,0.183040186471,ok,
A,A2_lower_level_penalty,1,0.5,L4,3,20260620,1000,2988,0.522813636364,0.173438398268,0.174971096507,ok,
A,A2_lower_level_penalty,1,0.5,L4,4,20260621,1000,3085,0.514933766234,0.16672982684,0.166915321308,ok,
A,A2_lower_level_penalty,1,0.5,L4,5,20260622,1000,3039,0.514068831169,0.170412380952,0.169157233027,ok,
A,A2_lower_level_penalty,1,0.5,L4,6,20260623,1000,3009,0.520788311688,0.16895715368,0.173076873276,ok,
A,A2_lower_level_penalty,1,0.5,L4,7,20260624,1000,2998,0.509608441559,0.169547045455,0.169982802388,ok,
A,A2_lower_level_penalty,1,0.5,L4,8,20260625,1000,2990,0.522913636364,0.178633170996,0.174887503801,ok,
A,A2_lower_level_penalty,1,0.5,L4,9,20260626,1000,2976,0.524976623377,0.176302088745,0.176403435274,ok,
A,A2_lower_level_penalty,1,0.5,L4,10,20260627,1000,3017,0.518786363636,0.175498712121,0.171954379727,ok,
A,A2_lower_level_penalty,1,0.5,L4,11,20260628,1000,3010,0.558777922078,0.189769166667,0.185640505674,ok,
A,A2_lower_level_penalty,1,0.5,L4,12,20260629,1000,2972,0.527571428571,0.179848441558,0.177513939627,ok,
A,A2_lower_level_penalty,1,0.5,L4,13,20260630,1000,3021,0.521226623377,0.171059155844,0.172534466527,ok,
A,A2_lower_level_penalty,1,0.5,L4,14,20260631,1000,2940,0.538602597403,0.177674025974,0.183198162382,ok,
A,A2_lower_level_penalty,1,0.5,L4,15,20260632,1000,3091,0.558735064935,0.177910411255,0.180761910364,ok,
A,A2_lower_level_penalty,1,0.5,L4,16,20260633,1000,3034,0.499748701299,0.160984772727,0.164716117765,ok,
A,A2_lower_level_penalty,1,0.5,L4,17,20260634,1000,3025,0.500922077922,0.170901158009,0.165594075346,ok,
A,A2_lower_level_penalty,1,0.5,L4,18,20260635,1000,2996,0.512201298701,0.181652694805,0.170961715187,ok,
