instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
AT_S_comercial_layout_AW_3,1,17566a936b0a83eaa90be3aca0f6ae7aafd53551,207,104,103,141.0,1.0,24,24,101,130,11,final_rank_01_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,6e40f67632d849109bae198a0c64673bd3191f7b,207,104,103,141.0,1.0,2,2,105,111,11,final_rank_01_layout_004,5,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,9d3d21d36a6671b620f72af434eb1fd0be3a0f4e,207,104,103,141.0,1.0,24,24,101,130,10,final_rank_01_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,2035ca093874466b8e7b1e9f7aa71b738528a47d,222,120,102,151.0,1.0,30,30,101,130,3,final_rank_01_layout_005,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,8ba645c74da6577ac7820f92db785eac755acc05,222,120,102,151.0,1.0,30,30,101,130,23,final_rank_01_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,5746b08b3776422e0780d272b1aa6262f068f19d,249,123,126,180.0,1.0,2,2,106,108,12,final_rank_01_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s106\runs\AT_S_comercial_layout_AW_3\seed_106\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,e0d925e4dda12dce5bdacd005384655ca7744b80,249,123,126,180.0,1.0,2,2,106,108,11,final_rank_01_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s106\runs\AT_S_comercial_layout_AW_3\seed_106\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,96063cafe471ac7a318b79889f6ae378965ee561,210,110,100,237.0,1.0,6,6,101,127,2,final_rank_01_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,6c65fc73e913536df7fafe359baf4a92756ef787,264,124,140,240.0,1.0,9,9,106,127,1,final_rank_01_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s110\runs\AT_S_comercial_layout_AW_3\seed_110\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,2419d620103f0d72682c565eeca0683a70f4bfab,228,105,123,119.0,1.0,3,3,110,121,15,final_rank_02_layout_008,14,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s110\runs\AT_S_comercial_layout_AW_3\seed_110\final_ranked_layouts_index.json,
