instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
Gyorgy-KOVACS_WH_Narrow_AW_4,2,0d0c52af56d0b61c6bade993b1ea97511c22cb5f,632,240,392,528.0,1.0,2,2,118,121,15,final_rank_02_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s121\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_121\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,04b9835ae17dcf7a9c8af907330db39e1d2fb2b9,624,252,372,534.0,1.0,24,24,101,130,20,final_rank_02_layout_004,6,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,57debfbcb33569e7a9d11cf7896db530f119ad92,608,261,347,565.0,1.0,7,7,111,130,20,final_rank_02_layout_007,8,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,0cf129bcce89e5f8a26de7d155210a53886c00dc,680,262,418,576.0,1.0,29,29,101,130,22,final_rank_02_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,67a6f4f8f954f77d80a9f7aeff15d9041dc361bd,680,262,418,576.0,1.0,29,29,101,130,21,final_rank_02_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,1806574f87db50fbd619950bace22c101eef624b,600,248,352,616.0,1.0,4,4,103,127,13,final_rank_02_layout_003,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,fdab6165a93a3ead2def72c1501d2c16490f4caa,632,232,400,520.0,1.0,1,1,121,121,16,final_rank_03_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s121\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_121\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,de3342cbf3ca15dcfcbcf14eeb0fab9ac39b6e8c,632,239,393,529.0,1.0,1,1,127,127,17,final_rank_03_layout_005,3,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s127\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_127\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,4fcb480805af1c3aff3bd464c714a0dc9bc119e4,640,243,397,539.0,1.0,5,5,111,128,22,final_rank_03_layout_004,3,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,19631d63ec0204b55a5a6d539d26aaf84a80581d,648,237,411,544.0,1.0,1,1,113,113,4,final_rank_03_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s113\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_113\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,24e93b3467ee5334276be59c5b6e878bb2e06a66,648,237,411,544.0,1.0,1,1,113,113,3,final_rank_03_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s113\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_113\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,08ee812bc396556b6550be0bd82f9266dcd2fe55,632,246,386,550.0,1.0,11,11,105,130,23,final_rank_03_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,660d9dab711cc8220a7c4152b9d81284ad744a59,632,246,386,550.0,1.0,11,11,105,130,24,final_rank_03_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,8498d8f1059034f9f144b058e7e18d5585555d05,624,252,372,562.0,1.0,9,9,105,130,19,final_rank_03_layout_005,6,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,3,08dfdb08ca75b8739e2c3ffebea5b42db822e898,608,261,347,595.0,1.0,2,2,111,130,19,final_rank_03_layout_005,8,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\final_ranked_layouts_index.json,
