selection_label,selection_type,layout_signature,seed,rank,candidate_id,layout_id,archive_key,row,col,level,block_id,block_size,access_type,access_side_count,access_sides,effective_access_side,effective_pick_face_row,effective_pick_face_col,effective_depth,horizontal_access_distance,vertical_level,normalized_distance,normalized_depth,normalized_level,slot_cost,storage_cells_layout,pick_faces_layout,interior_deep_storage_share_layout,retrieval_penalty_layout,mean_depth_layout,max_depth_layout,largest_block_size_layout,pallet_slot_capacity_layout,slot_metric_status,slot_metric_warning
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,0,2,64,two_sided,2,"E,W",W,1,19,4,39,0,0.709090909,0.75,0,1.459090909,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,1,2,64,two_sided,2,"E,W",W,1,19,4,39,1,0.709090909,0.75,0.142857143,1.601948052,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,2,2,64,two_sided,2,"E,W",W,1,19,4,39,2,0.709090909,0.75,0.285714286,1.744805195,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,3,2,64,two_sided,2,"E,W",W,1,19,4,39,3,0.709090909,0.75,0.428571429,1.887662338,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,4,2,64,two_sided,2,"E,W",W,1,19,4,39,4,0.709090909,0.75,0.571428571,2.030519481,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,5,2,64,two_sided,2,"E,W",W,1,19,4,39,5,0.709090909,0.75,0.714285714,2.173376623,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,6,2,64,two_sided,2,"E,W",W,1,19,4,39,6,0.709090909,0.75,0.857142857,2.316233766,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,22,7,2,64,two_sided,2,"E,W",W,1,19,4,39,7,0.709090909,0.75,1,2.459090909,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,0,2,64,two_sided,2,"E,W",E,1,26,4,48,0,0.872727273,0.75,0,1.622727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,1,2,64,two_sided,2,"E,W",E,1,26,4,48,1,0.872727273,0.75,0.142857143,1.765584416,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,2,2,64,two_sided,2,"E,W",E,1,26,4,48,2,0.872727273,0.75,0.285714286,1.908441558,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,3,2,64,two_sided,2,"E,W",E,1,26,4,48,3,0.872727273,0.75,0.428571429,2.051298701,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,4,2,64,two_sided,2,"E,W",E,1,26,4,48,4,0.872727273,0.75,0.571428571,2.194155844,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,5,2,64,two_sided,2,"E,W",E,1,26,4,48,5,0.872727273,0.75,0.714285714,2.337012987,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,6,2,64,two_sided,2,"E,W",E,1,26,4,48,6,0.872727273,0.75,0.857142857,2.47987013,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,23,7,2,64,two_sided,2,"E,W",E,1,26,4,48,7,0.872727273,0.75,1,2.622727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,0,2,64,two_sided,2,"E,W",E,1,26,3,48,0,0.872727273,0.5,0,1.372727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,1,2,64,two_sided,2,"E,W",E,1,26,3,48,1,0.872727273,0.5,0.142857143,1.515584416,560,270,0.517857143,341,1.8375,5,119,4480,ok,
